Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
alovoa,com.nonononoki.alovoa.service,ScheduleServiceTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.ScheduleService.cleanUserHide; com.nonononoki.alovoa.service.ScheduleService.cleanContact; com.nonononoki.alovoa.service.ScheduleService.cleanCaptcha
alovoa,com.nonononoki.alovoa.service,RegisterServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
alovoa,com.nonononoki.alovoa.service,MailServiceTest,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
alovoa,com.nonononoki.alovoa.service,PasswordServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
alovoa,com.nonononoki.alovoa.service,PasswordServiceTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.PasswordService.resetPasword; com.nonononoki.alovoa.service.CaptchaService.generate; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.PasswordService.changePasword
alovoa,com.nonononoki.alovoa.service,PasswordServiceTest,test,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
alovoa,com.nonononoki.alovoa.service,AdminServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
alovoa,com.nonononoki.alovoa.service,AdminServiceTest,test,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.nonononoki.alovoa.service.AdminService.userExists; com.nonononoki.alovoa.service.AdminService.sendMailSingle; com.nonononoki.alovoa.service.AdminService.addDonation; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.model.UserDto.encodeId; com.nonononoki.alovoa.service.AdminService.sendMailAll; com.nonononoki.alovoa.service.AdminService.hideContact; com.nonononoki.alovoa.service.AuthService.getCurrentUser; com.nonononoki.alovoa.service.AdminService.banUser; com.nonononoki.alovoa.service.AdminService.deleteReport
alovoa,com.nonononoki.alovoa.service,UserServiceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 36
